ArtistId,Name,AlbumId,count
22,Led Zeppelin,30,114
150,U2,232,112
58,Deep Purple,43,92
90,Iron Maiden,94,81
118,Pearl Jam,178,54
152,Van Halen,242,52
51,Queen,36,45
142,The Rolling Stones,216,41
76,Creedence Clearwater Revival,54,40
52,Kiss,37,35
84,Foo Fighters,79,33
127,Red Hot Chili Peppers,194,31
139,The Cult,212,30
100,Lenny Kravitz,141,30
110,Nirvana,163,29
88,Guns N' Roses,90,28
59,Santana,46,27
130,Skank,199,23
144,The Who,221,20
114,Ozzy Osbourne,170,18
1,AC/DC,1,18
132,Soundgarden,203,17
94,Jimi Hendrix,120,17
78,Def Leppard,67,16
111,O Terço,165,15
82,Faith No More,76,15
3,Aerosmith,5,15
141,The Police,215,14
128,Rush,196,14
126,Raul Seixas,192,14
124,R.E.M.,189,14
8,Audioslave,10,14
153,Velvet Revolver,246,13
4,Alanis Morissette,6,13
179,Scorpions,257,12
134,Stone Temple Pilots,206,12
115,Page & Plant,175,12
55,David Coverdale,40,12
5,Alice In Chains,7,12
140,The Doors,214,11
117,Paul D'Ianno,177,10
105,Men At Work,147,10
102,Marillion,144,10
95,Joe Satriani,121,10
92,Jamiroquai,116,10
120,Pink Floyd,183,9
23,Frank Zappa & Captain Beefheart,31,9
136,"Terry Bozzio, Tony Levin & Steve Stevens",208,7
2,Accept,2,4
200,The Posies,265,2
157,Dread Zeppelin,252,1
